"id","rollNumber","first_name","last_name","gender","email_address","semester","password","GPA","hostelno","roomno","contactno"
79,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
80,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
81,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
82,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
83,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
84,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
85,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
86,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
87,"iit20190712","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
88,"iit2019123","ani","abc","male","iit@gma.com",1,"qwer",9,,,
89,"iit2019111","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
90,"iit2019099","ghi","kla","male","iit2@gma.com",2,"asda",7.4,,,
91,"iit2019087","jkl","ada","female","iit3@gma.com",2,"sdfaera",6.6,,,
92,"iit20191123","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
93,"iit20190715","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
94,"iit2019021341","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
95,"iit2019021342","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
96,"iit2019021343","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
97,"iit2019021344","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
98,"iit2019021345","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
99,"iit2019021346","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
100,"iit2019021347","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
101,"iit2019021348","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
102,"iit2019021349","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
103,"iit2019021350","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
104,"iit2019021351","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
105,"iit2019021352","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
106,"iit2019021353","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
107,"iit2019021354","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
108,"iit2019021355","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
109,"iit2019021356","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
110,"iit2019021357","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
111,"iit2019021358","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
112,"iit2019021359","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
113,"iit2019021360","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
114,"iit2019021361","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
115,"iit2019021362","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
116,"iit2019021363","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
117,"iit2019021364","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
118,"iit2019021365","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
119,"iit2019021366","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
120,"iit2019021367","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
121,"iit2019021368","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
122,"iit2019021369","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
123,"iit2019021370","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
124,"iit2019021371","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
125,"iit2019021372","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
126,"iit2019021373","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
127,"iit2019021374","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
128,"iit2019021375","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
129,"iit2019021376","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
130,"iit2019021377","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
131,"iit2019021378","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
132,"iit2019021379","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
133,"iit2019021380","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
134,"iit2019021381","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
135,"iit2019021382","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
136,"iit2019021383","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
137,"iit2019021384","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
138,"iit2019021385","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
139,"iit2019021386","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
140,"iit2019021387","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
141,"iit2019021388","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
142,"iit2019021389","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
